DATE,USEPUINDXD
1989-06-19,123.26000
1989-06-26,142.95000
1989-07-03,92.73000
1989-07-10,181.27000
1989-07-17,89.86000
1989-07-24,53.32000
1989-07-31,122.86000
1989-08-07,88.57000
1989-08-14,89.11000
1989-08-21,89.50000
1989-08-28,143.62000
1989-09-04,21.87000
1989-09-11,50.85000
1989-09-18,33.74000
1989-09-25,33.76000
1989-10-02,50.64000
1989-10-09,151.18000
1989-10-16,94.44000
1989-10-23,65.68000
1989-10-30,81.41000
1989-11-06,77.54000
1989-11-13,162.38000
1989-11-20,131.25000
1989-11-27,70.83000
1989-12-04,99.79000
1989-12-11,135.18000
1989-12-18,67.80000
1989-12-25,121.35000
1990-01-01,292.30000
1990-01-08,126.54000
1990-01-15,64.57000
1990-01-22,108.89000
1990-01-29,196.57000
1990-02-05,123.05000
1990-02-12,212.37000
1990-02-19,144.38000
1990-02-26,89.74000
1990-03-05,73.60000
1990-03-12,72.75000
1990-03-19,58.97000
1990-03-26,71.83000
1990-04-02,69.27000
1990-04-09,68.68000
1990-04-16,114.82000
1990-04-23,68.09000
1990-04-30,71.50000
1990-05-07,71.19000
1990-05-14,113.10000
1990-05-21,70.37000
1990-05-28,69.46000
1990-06-04,194.78000
1990-06-11,141.39000
1990-06-18,71.60000
1990-06-25,70.43000
1990-07-02,158.26000
1990-07-09,111.49000
1990-07-16,86.15000
1990-07-23,113.36000
1990-07-30,69.72000
1990-08-06,170.73000
1990-08-13,187.93000
1990-08-20,140.73000
1990-08-27,112.82000
1990-09-03,322.08000
1990-09-10,239.50000
1990-09-17,117.96000
1990-09-24,240.70000
1990-10-01,161.34000
1990-10-08,176.01000
1990-10-15,160.08000
1990-10-22,197.31000
1990-10-29,180.53000
1990-11-05,158.77000
1990-11-12,176.83000
1990-11-19,169.33000
1990-11-26,171.00000
1990-12-03,165.65000
1990-12-10,104.64000
1990-12-17,133.38000
1990-12-24,142.14000
1990-12-31,188.54000
1991-01-07,208.37000
1991-01-14,235.44000
1991-01-21,75.05000
1991-01-28,169.47000
1991-02-04,291.12000
1991-02-11,89.94000
1991-02-18,158.62000
1991-02-25,118.31000
1991-03-04,122.99000
1991-03-11,108.38000
1991-03-18,62.98000
1991-03-25,62.14000
1991-04-01,64.16000
1991-04-08,146.07000
1991-04-15,88.85000
1991-04-22,37.97000
1991-04-29,38.84000
1991-05-06,100.18000
1991-05-13,65.26000
1991-05-20,87.66000
1991-05-27,91.36000
1991-06-03,129.74000
1991-06-10,103.47000
1991-06-17,92.06000
1991-06-24,65.58000
1991-07-01,193.44000
1991-07-08,135.84000
1991-07-15,130.58000
1991-07-22,140.02000
1991-07-29,102.78000
1991-08-05,77.04000
1991-08-12,169.58000
1991-08-19,139.42000
1991-08-26,114.88000
1991-09-02,272.33000
1991-09-09,173.14000
1991-09-16,48.62000
1991-09-23,48.94000
1991-09-30,145.93000
1991-10-07,121.77000
1991-10-14,121.85000
1991-10-21,182.35000
1991-10-28,119.15000
1991-11-04,109.98000
1991-11-11,171.04000
1991-11-18,120.33000
1991-11-25,178.11000
1991-12-02,76.19000
1991-12-09,122.82000
1991-12-16,230.50000
1991-12-23,207.40000
1991-12-30,247.38000
1992-01-06,128.72000
1992-01-13,183.98000
1992-01-20,127.61000
1992-01-27,310.30000
1992-02-03,204.43000
1992-02-10,197.85000
1992-02-17,253.40000
1992-02-24,165.98000
1992-03-02,231.77000
1992-03-09,186.02000
1992-03-16,93.25000
1992-03-23,82.37000
1992-03-30,59.58000
1992-04-06,116.33000
1992-04-13,105.93000
1992-04-20,123.26000
1992-04-27,160.50000
1992-05-04,127.40000
1992-05-11,127.16000
1992-05-18,95.24000
1992-05-25,147.53000
1992-06-01,182.67000
1992-06-08,88.10000
1992-06-15,137.17000
1992-06-22,99.87000
1992-06-29,102.33000
1992-07-06,133.19000
1992-07-13,149.85000
1992-07-20,176.03000
1992-07-27,219.26000
1992-08-03,108.00000
1992-08-10,36.66000
1992-08-17,301.10000
1992-08-24,170.06000
1992-08-31,114.86000
1992-09-07,287.22000
1992-09-14,133.41000
1992-09-21,398.32000
1992-09-28,163.45000
1992-10-05,302.80000
1992-10-12,198.91000
1992-10-19,175.65000
1992-10-26,148.85000
1992-11-02,238.80000
1992-11-09,154.97000
1992-11-16,164.96000
1992-11-23,47.30000
1992-11-30,61.29000
1992-12-07,90.49000
1992-12-14,176.86000
1992-12-21,129.28000
1992-12-28,161.11000
1993-01-04,300.77000
1993-01-11,120.49000
1993-01-18,105.76000
1993-01-25,92.91000
1993-02-01,150.75000
1993-02-08,79.99000
1993-02-15,82.85000
1993-02-22,253.37000
1993-03-01,180.94000
1993-03-08,145.14000
1993-03-15,136.71000
1993-03-22,218.26000
1993-03-29,360.09000
1993-04-05,181.66000
1993-04-12,120.76000
1993-04-19,104.61000
1993-04-26,111.78000
1993-05-03,91.55000
1993-05-10,135.52000
1993-05-17,148.53000
1993-05-24,129.82000
1993-05-31,234.33000
1993-06-07,137.69000
1993-06-14,82.71000
1993-06-21,83.53000
1993-06-28,96.36000
1993-07-05,209.18000
1993-07-12,106.40000
1993-07-19,208.99000
1993-07-26,96.26000
1993-08-02,169.27000
1993-08-09,157.89000
1993-08-16,93.94000
1993-08-23,107.29000
1993-08-30,141.91000
1993-09-06,243.31000
1993-09-13,125.39000
1993-09-20,114.19000
1993-09-27,149.58000
1993-10-04,44.52000
1993-10-11,66.40000
1993-10-18,88.39000
1993-10-25,66.01000
1993-11-01,108.76000
1993-11-08,164.57000
1993-11-15,76.55000
1993-11-22,118.92000
1993-11-29,23.24000
1993-12-06,73.60000
1993-12-13,77.25000
1993-12-20,79.06000
1993-12-27,160.06000
1994-01-03,94.09000
1994-01-10,126.46000
1994-01-17,79.93000
1994-01-24,46.00000
1994-01-31,88.68000
1994-02-07,164.57000
1994-02-14,96.64000
1994-02-21,99.12000
1994-02-28,106.63000
1994-03-07,41.64000
1994-03-14,95.00000
1994-03-21,141.18000
1994-03-28,123.35000
1994-04-04,489.12000
1994-04-11,132.14000
1994-04-18,76.88000
1994-04-25,135.53000
1994-05-02,62.92000
1994-05-09,43.37000
1994-05-16,157.23000
1994-05-23,98.10000
1994-05-30,50.82000
1994-06-06,32.97000
1994-06-13,108.46000
1994-06-20,108.78000
1994-06-27,75.81000
1994-07-04,134.94000
1994-07-11,258.00000
1994-07-18,66.59000
1994-07-25,65.67000
1994-08-01,54.78000
1994-08-08,99.40000
1994-08-15,76.77000
1994-08-22,220.28000
1994-08-29,45.59000
1994-09-05,175.96000
1994-09-12,62.11000
1994-09-19,210.22000
1994-09-26,146.30000
1994-10-03,82.38000
1994-10-10,52.58000
1994-10-17,115.49000
1994-10-24,41.94000
1994-10-31,92.09000
1994-11-07,92.18000
1994-11-14,232.26000
1994-11-21,115.50000
1994-11-28,135.09000
1994-12-05,84.39000
1994-12-12,84.02000
1994-12-19,54.09000
1994-12-26,145.15000
1995-01-02,261.73000
1995-01-09,75.18000
1995-01-16,115.33000
1995-01-23,94.13000
1995-01-30,121.91000
1995-02-06,170.19000
1995-02-13,106.04000
1995-02-20,154.90000
1995-02-27,192.13000
1995-03-06,78.74000
1995-03-13,124.92000
1995-03-20,81.24000
1995-03-27,59.68000
1995-04-03,85.79000
1995-04-10,79.82000
1995-04-17,74.68000
1995-04-24,39.87000
1995-05-01,80.99000
1995-05-08,80.27000
1995-05-15,49.30000
1995-05-22,99.11000
1995-05-29,35.39000
1995-06-05,111.36000
1995-06-12,60.30000
1995-06-19,60.61000
1995-06-26,61.60000
1995-07-03,95.14000
1995-07-10,145.67000
1995-07-17,92.75000
1995-07-24,83.34000
1995-07-31,30.38000
1995-08-07,62.02000
1995-08-14,40.72000
1995-08-21,31.45000
1995-08-28,60.00000
1995-09-04,114.77000
1995-09-11,38.98000
1995-09-18,19.37000
1995-09-25,77.94000
1995-10-02,36.28000
1995-10-09,78.39000
1995-10-16,116.58000
1995-10-23,56.98000
1995-10-30,95.52000
1995-11-06,38.23000
1995-11-13,38.37000
1995-11-20,86.23000
1995-11-27,149.52000
1995-12-04,58.20000
1995-12-11,38.73000
1995-12-18,78.98000
1995-12-25,14.09000
1996-01-01,179.42000
1996-01-08,136.18000
1996-01-15,87.04000
1996-01-22,188.14000
1996-01-29,83.71000
1996-02-05,95.82000
1996-02-12,152.44000
1996-02-19,105.21000
1996-02-26,159.00000
1996-03-04,91.74000
1996-03-11,91.30000
1996-03-18,83.23000
1996-03-25,72.52000
1996-04-01,121.73000
1996-04-08,95.01000
1996-04-15,70.70000
1996-04-22,72.10000
1996-04-29,45.98000
1996-05-06,55.53000
1996-05-13,18.58000
1996-05-20,36.63000
1996-05-27,86.10000
1996-06-03,48.25000
1996-06-10,85.36000
1996-06-17,85.07000
1996-06-24,87.37000
1996-07-01,64.46000
1996-07-08,107.66000
1996-07-15,49.55000
1996-07-22,53.59000
1996-07-29,35.72000
1996-08-05,93.45000
1996-08-12,153.15000
1996-08-19,97.53000
1996-08-26,18.43000
1996-09-02,115.70000
1996-09-09,55.18000
1996-09-16,54.48000
1996-09-23,91.33000
1996-09-30,149.90000
1996-10-07,139.76000
1996-10-14,83.34000
1996-10-21,87.92000
1996-10-28,170.82000
1996-11-04,69.69000
1996-11-11,72.41000
1996-11-18,45.21000
1996-11-25,35.97000
1996-12-02,36.54000
1996-12-09,119.95000
1996-12-16,64.09000
1996-12-23,37.54000
1996-12-30,69.44000
1997-01-06,115.70000
1997-01-13,89.95000
1997-01-20,128.27000
1997-01-27,98.80000
1997-02-03,88.97000
1997-02-10,90.63000
1997-02-17,18.11000
1997-02-24,79.07000
1997-03-03,33.73000
1997-03-10,5.80000
1997-03-17,35.21000
1997-03-24,115.70000
1997-03-31,66.14000
1997-04-07,45.84000
1997-04-14,80.07000
1997-04-21,17.27000
1997-04-28,86.26000
1997-05-05,44.04000
1997-05-12,64.51000
1997-05-19,70.28000
1997-05-26,121.40000
1997-06-02,26.79000
1997-06-09,18.45000
1997-06-16,83.53000
1997-06-23,66.26000
1997-06-30,138.46000
1997-07-07,47.17000
1997-07-14,37.06000
1997-07-21,8.99000
1997-07-28,18.16000
1997-08-04,9.08000
1997-08-11,54.35000
1997-08-18,111.83000
1997-08-25,137.28000
1997-09-01,84.14000
1997-09-08,58.88000
1997-09-15,58.10000
1997-09-22,59.33000
1997-09-29,58.32000
1997-10-06,75.02000
1997-10-13,57.90000
1997-10-20,50.42000
1997-10-27,128.14000
1997-11-03,49.96000
1997-11-10,174.74000
1997-11-17,66.05000
1997-11-24,82.24000
1997-12-01,102.73000
1997-12-08,58.01000
1997-12-15,60.61000
1997-12-22,52.12000
1997-12-29,148.39000
1998-01-05,117.16000
1998-01-12,141.94000
1998-01-19,59.93000
1998-01-26,150.56000
1998-02-02,170.29000
1998-02-09,40.63000
1998-02-16,40.05000
1998-02-23,40.06000
1998-03-02,32.64000
1998-03-09,79.44000
1998-03-16,56.09000
1998-03-23,48.44000
1998-03-30,140.49000
1998-04-06,24.59000
1998-04-13,111.84000
1998-04-20,243.08000
1998-04-27,82.83000
1998-05-04,66.80000
1998-05-11,58.52000
1998-05-18,82.85000
1998-05-25,66.15000
1998-06-01,79.51000
1998-06-08,59.13000
1998-06-15,42.19000
1998-06-22,75.23000
1998-06-29,51.72000
1998-07-06,8.94000
1998-07-13,255.72000
1998-07-20,8.52000
1998-07-27,42.03000
1998-08-03,69.60000
1998-08-10,87.78000
1998-08-17,85.57000
1998-08-24,291.00000
1998-08-31,385.54000
1998-09-07,195.27000
1998-09-14,159.45000
1998-09-21,101.35000
1998-09-28,120.80000
1998-10-05,233.92000
1998-10-12,77.23000
1998-10-19,71.03000
1998-10-26,144.01000
1998-11-02,79.09000
1998-11-09,76.32000
1998-11-16,77.31000
1998-11-23,79.06000
1998-11-30,50.31000
