Date,BOGMAS,BTC-USD,BOGMAS_Chg%,BTC-USD_Chg%
01/08/2022,5582200,20049.76367,0.008145058,-0.140855611
01/09/2022,5410900,19431.78906,-0.030686826,-0.03082204
01/10/2022,5339600,20495.77344,-0.013177105,0.054754834
01/11/2022,5418700,17168.56641,0.014813844,-0.162336252
01/12/2022,5405400,16547.49609,-0.002454463,-0.03617485
01/01/2023,5328400,23139.2832,-0.014245014,0.398355562
01/02/2023,5321000,23147.35352,-0.001388785,0.000348771
01/03/2023,5571000,28478.48438,0.04698365,0.230312759
01/04/2023,5592600,29268.80664,0.003877221,0.027751556
01/05/2023,5569100,27219.6582,-0.004201981,-0.070011342
01/06/2023,5608200,30477.25195,0.007020883,0.119677981
